from_section,to_section,edge_type
020,056,mentioned_dependency_or_related
020,057,mentioned_dependency_or_related
020,058,mentioned_dependency_or_related
020,059,mentioned_dependency_or_related
020,060,mentioned_dependency_or_related
020,063,mentioned_dependency_or_related
020,073,mentioned_dependency_or_related
020,074,mentioned_dependency_or_related
020,075,mentioned_dependency_or_related
020,106,mentioned_dependency_or_related
020,107,mentioned_dependency_or_related
020,130,mentioned_dependency_or_related
020,136,mentioned_dependency_or_related
020,167,mentioned_dependency_or_related
020,178,mentioned_dependency_or_related
020,182,mentioned_dependency_or_related
020,183,mentioned_dependency_or_related
020,189,mentioned_dependency_or_related
020,219,mentioned_dependency_or_related
020,220,mentioned_dependency_or_related
020,222,mentioned_dependency_or_related
020,226,mentioned_dependency_or_related
020,227,mentioned_dependency_or_related
020,231,mentioned_dependency_or_related
020,235,mentioned_dependency_or_related
020,256,mentioned_dependency_or_related
020,257,mentioned_dependency_or_related
020,258,mentioned_dependency_or_related
020,259,mentioned_dependency_or_related
020,260,mentioned_dependency_or_related
020,261,mentioned_dependency_or_related
020,262,mentioned_dependency_or_related
020,263,mentioned_dependency_or_related
020,269,mentioned_dependency_or_related
020,272,mentioned_dependency_or_related
020,289,mentioned_dependency_or_related
020,301,mentioned_dependency_or_related
020,303,mentioned_dependency_or_related
020,311,mentioned_dependency_or_related
020,319,mentioned_dependency_or_related
020,326,mentioned_dependency_or_related
020,327,mentioned_dependency_or_related
020,331,mentioned_dependency_or_related
020,332,mentioned_dependency_or_related
020,333,mentioned_dependency_or_related
020,341,mentioned_dependency_or_related
020,350,mentioned_dependency_or_related
020,374,mentioned_dependency_or_related
020,382,mentioned_dependency_or_related
020,383,mentioned_dependency_or_related
020,388,mentioned_dependency_or_related
020,389,mentioned_dependency_or_related
020,390,mentioned_dependency_or_related
020,405,mentioned_dependency_or_related
020,406,mentioned_dependency_or_related
021,001,mentioned_dependency_or_related
021,020,mentioned_dependency_or_related
021,022,mentioned_dependency_or_related
021,023,mentioned_dependency_or_related
021,024,mentioned_dependency_or_related
021,025,mentioned_dependency_or_related
021,026,mentioned_dependency_or_related
021,027,mentioned_dependency_or_related
021,028,mentioned_dependency_or_related
021,029,mentioned_dependency_or_related
021,030,mentioned_dependency_or_related
021,031,mentioned_dependency_or_related
021,032,mentioned_dependency_or_related
021,033,mentioned_dependency_or_related
021,034,mentioned_dependency_or_related
021,035,mentioned_dependency_or_related
021,036,mentioned_dependency_or_related
021,041,mentioned_dependency_or_related
021,045,mentioned_dependency_or_related
021,048,mentioned_dependency_or_related
021,051,mentioned_dependency_or_related
021,052,mentioned_dependency_or_related
021,258,mentioned_dependency_or_related
021,289,mentioned_dependency_or_related
021,373,mentioned_dependency_or_related
021,384,mentioned_dependency_or_related
021,389,mentioned_dependency_or_related
021,390,mentioned_dependency_or_related
021,405,mentioned_dependency_or_related
021,406,mentioned_dependency_or_related
022,001,mentioned_dependency_or_related
022,021,mentioned_dependency_or_related
022,023,mentioned_dependency_or_related
022,024,mentioned_dependency_or_related
022,025,mentioned_dependency_or_related
022,028,mentioned_dependency_or_related
022,029,mentioned_dependency_or_related
022,030,mentioned_dependency_or_related
022,031,mentioned_dependency_or_related
022,032,mentioned_dependency_or_related
022,033,mentioned_dependency_or_related
022,034,mentioned_dependency_or_related
022,035,mentioned_dependency_or_related
022,036,mentioned_dependency_or_related
022,038,mentioned_dependency_or_related
022,041,mentioned_dependency_or_related
022,042,mentioned_dependency_or_related
022,043,mentioned_dependency_or_related
022,044,mentioned_dependency_or_related
022,045,mentioned_dependency_or_related
022,046,mentioned_dependency_or_related
022,047,mentioned_dependency_or_related
022,048,mentioned_dependency_or_related
022,050,mentioned_dependency_or_related
022,051,mentioned_dependency_or_related
022,052,mentioned_dependency_or_related
022,053,mentioned_dependency_or_related
022,056,mentioned_dependency_or_related
022,107,mentioned_dependency_or_related
022,128,mentioned_dependency_or_related
022,129,mentioned_dependency_or_related
022,167,mentioned_dependency_or_related
